OrderDetailsID,Order_ID,Product_ID
1,CA-2017-152156,FUR-BO-10001798
2,CA-2017-152156,FUR-CH-10000454
3,CA-2017-138688,OFF-LA-10000240
4,US-2016-108966,FUR-TA-10000577
5,US-2016-108966,OFF-ST-10000760
6,CA-2015-115812,FUR-FU-10001487
7,CA-2015-115812,OFF-AR-10002833
8,CA-2015-115812,TEC-PH-10002275
9,CA-2015-115812,OFF-BI-10003910
10,CA-2015-115812,OFF-AP-10002892
11,CA-2015-115812,FUR-TA-10001539
12,CA-2015-115812,TEC-PH-10002033
13,CA-2018-114412,OFF-PA-10002365
14,CA-2017-161389,OFF-BI-10003656
15,US-2016-118983,OFF-AP-10002311
16,US-2016-118983,OFF-BI-10000756
17,CA-2015-105893,OFF-ST-10004186
18,CA-2015-167164,OFF-ST-10000107
19,CA-2015-143336,OFF-AR-10003056
20,CA-2015-143336,TEC-PH-10001949
21,CA-2015-143336,OFF-BI-10002215
22,CA-2017-137330,OFF-AR-10000246
23,CA-2017-137330,OFF-AP-10001492
24,US-2018-156909,FUR-CH-10002774
25,CA-2016-106320,FUR-TA-10000577
26,CA-2017-121755,OFF-BI-10001634
27,CA-2017-121755,TEC-AC-10003027
28,US-2016-150630,FUR-BO-10004834
29,US-2016-150630,OFF-BI-10000474
30,US-2016-150630,FUR-FU-10004848
31,US-2016-150630,OFF-EN-10001509
32,US-2016-150630,OFF-AR-10004042
33,US-2016-150630,OFF-BI-10001525
34,US-2016-150630,OFF-AR-10001683
35,CA-2018-107727,OFF-PA-10000249
36,CA-2017-117590,TEC-PH-10004977
37,CA-2017-117590,FUR-FU-10003664
38,CA-2016-117415,OFF-EN-10002986
39,CA-2016-117415,FUR-BO-10002545
40,CA-2016-117415,FUR-CH-10004218
41,CA-2016-117415,TEC-PH-10000486
42,CA-2018-120999,TEC-PH-10004093
43,CA-2017-101343,OFF-ST-10003479
44,CA-2018-139619,OFF-ST-10003282
45,CA-2017-118255,TEC-AC-10000171
46,CA-2017-118255,OFF-BI-10003291
47,CA-2015-146703,OFF-ST-10001713
48,CA-2017-169194,TEC-AC-10002167
49,CA-2017-169194,TEC-PH-10003988
50,CA-2016-115742,OFF-BI-10004410
51,CA-2016-115742,OFF-LA-10002762
52,CA-2016-115742,FUR-FU-10001706
53,CA-2016-115742,FUR-CH-10003061
54,CA-2017-105816,OFF-FA-10000304
55,CA-2017-105816,TEC-PH-10002447
56,CA-2017-111682,OFF-ST-10000604
57,CA-2017-111682,OFF-PA-10001569
58,CA-2017-111682,FUR-CH-10003968
59,CA-2017-111682,OFF-PA-10000587
60,CA-2017-111682,TEC-AC-10002167
61,CA-2017-111682,OFF-BI-10001460
62,CA-2017-111682,OFF-AR-10001868
63,CA-2016-135545,TEC-AC-10004633
64,CA-2016-135545,OFF-BI-10001078
65,CA-2016-135545,OFF-PA-10003892
66,CA-2016-135545,FUR-FU-10000397
67,US-2016-164175,FUR-CH-10001146
68,CA-2015-106376,OFF-AR-10002671
69,CA-2015-106376,TEC-PH-10002726
70,CA-2017-119823,OFF-PA-10000482
71,CA-2017-106075,OFF-BI-10004654
72,CA-2018-114440,OFF-PA-10004675
73,US-2016-134026,FUR-CH-10000513
74,US-2016-134026,FUR-FU-10003708
75,US-2016-134026,OFF-ST-10004123
76,US-2018-118038,OFF-BI-10004182
77,US-2018-118038,FUR-FU-10000260
78,US-2018-118038,OFF-ST-10000615
79,US-2015-147606,FUR-FU-10003194
80,CA-2017-127208,OFF-AP-10002118
81,CA-2017-127208,OFF-BI-10002309
82,CA-2015-139451,OFF-AR-10002053
83,CA-2015-139451,OFF-ST-10002370
84,CA-2016-149734,OFF-EN-10000927
