Order_ID,Customer_ID,Order_Date,Ship_Date,Shipper_ID,Sales
CA-2015-100006,DK-13375,2015-09-07,2015-09-13,103,377.97
CA-2015-100090,EB-13705,2015-07-08,2015-07-12,103,196.7
CA-2015-100293,NF-18475,2015-03-14,2015-03-18,103,91.06
CA-2015-100328,JC-15340,2015-01-28,2015-02-03,103,3.93
CA-2015-100363,JM-15655,2015-04-08,2015-04-15,103,2.37
CA-2015-100391,BW-11065,2015-05-25,2015-05-29,103,14.62
CA-2015-100678,KM-16720,2015-04-18,2015-04-22,103,2.69
CA-2015-100706,LE-16810,2015-12-16,2015-12-18,104,29.46
CA-2015-100762,NG-18355,2015-11-24,2015-11-29,103,15.96
CA-2015-100860,CS-12505,2015-03-26,2015-03-30,104,18.75
CA-2015-100867,EH-14125,2015-10-19,2015-10-24,103,321.55
CA-2015-100881,DR-12940,2015-03-28,2015-04-01,103,302.38
CA-2015-100895,SV-20785,2015-06-02,2015-06-06,103,8.56
CA-2015-100916,FH-14275,2015-10-21,2015-10-26,103,2.84
CA-2015-100972,DB-13360,2015-11-19,2015-11-24,104,166.44
CA-2015-101147,MC-17575,2015-12-02,2015-12-04,101,2.39
CA-2015-101175,DM-12955,2015-12-09,2015-12-14,103,100.7
CA-2015-101266,MM-17920,2015-08-27,2015-08-30,104,13.36
CA-2015-101364,TW-21025,2015-12-22,2015-12-26,103,296.71
CA-2015-101392,AS-10630,2015-12-07,2015-12-13,103,269.36
CA-2015-101427,AY-10555,2015-12-26,2015-12-30,103,8.02
CA-2015-101462,BP-11230,2015-04-20,2015-04-25,103,59.92
CA-2015-101476,SD-20485,2015-09-12,2015-09-13,101,69.99
CA-2015-101560,CS-12250,2015-11-28,2015-12-01,104,13.12
CA-2015-101602,MC-18100,2015-12-15,2015-12-18,101,40.68
CA-2015-101770,KB-16240,2015-03-31,2015-04-04,103,1.87
CA-2015-101833,FG-14260,2015-11-17,2015-11-22,104,34.44
CA-2015-101931,TS-21370,2015-10-28,2015-10-31,101,6.28
CA-2015-102008,RA-19915,2015-09-30,2015-10-04,103,48.94
CA-2015-102085,JD-16015,2015-10-04,2015-10-09,103,29.24
CA-2015-102274,DH-13075,2015-11-21,2015-11-26,103,5.46
CA-2015-102295,EH-13990,2015-11-24,2015-11-26,104,120.71
CA-2015-102330,AI-10855,2015-12-29,2016-01-03,103,88.8
CA-2015-102645,IM-15055,2015-01-23,2015-01-28,103,40.08
CA-2015-102652,AY-10555,2015-04-06,2015-04-12,103,19.44
CA-2015-102673,KH-16630,2015-11-01,2015-11-05,103,7.52
CA-2015-102869,LC-17140,2015-09-09,2015-09-14,104,15.55
CA-2015-102988,GM-14695,2015-04-05,2015-04-09,104,12.96
